State,Tornados,Area
WA,2,172348
OR,3,254805
CA,9,403932
NV,2,284448
ID,5,214314
UT,3,212752
AZ,4,294313
MT,9,376978
WY,12,251488
CO,47,268628
NM,10,314311
ND,29,178647
SD,32,196451
NE,51,199098
KS,78,211900
OK,57,177847
TX,150,678051
MN,37,206189
IA,48,144700
MO,39,178414
AR,33,134856
LA,37,112825
WI,23,140662
IL,44,143962
MI,17,147122
IN,20,92895
KY,17,102895
TN,21,106752
MS,38,121489
OH,17,106055
PA,15,116076
NY,9,122284
WV,2,62362
VA,14,102548
NC,26,126161
AL,37,131426
GA,26,149976
SC,21,77982
FL,62,139760
MD,7,25314
DE,1,5061
NJ,3,19210
CT,1,12548
ME,1,79932
RI,1,2706
VT,1,23957
MA,1,20306
NH,1,23227
